1,Goraud,Fleury,1935-09-24
2,Lettie,Yakov,1903-12-12
3,Alfons,Coysh,1995-02-19
4,Madelle,Feavers,1923-10-05
5,Koo,Arnaudet,1918-01-12
6,Dulsea,Mc Menamin,1991-01-12
7,Flss,Skeffington,1993-02-09
8,Adina,Brandoni,1941-08-07
9,Husain,Gallop,1929-11-23
10,Enrique,Yurkiewicz,2007-08-25
11,Abra,Aizlewood,1998-09-06
12,Lenci,Wolters,2018-09-02
13,Jeanie,Odo,1985-01-05
14,Hyacinthe,Trimmell,1928-12-08
15,Appolonia,Radnage,2011-01-18
16,Fionna,Aireton,1936-08-19
17,Pryce,Sollars,2015-09-24
18,Cilka,Gowen,1975-06-04
19,Petey,Odney,2006-11-26
20,Saloma,Cantle,2011-04-12
21,Idaline,Tuvey,1901-10-14
22,Upton,Erasmus,1942-12-12
23,Lilllie,McIlherran,1989-04-26
24,Lewes,Gissing,2000-03-26
25,Katalin,McKane,1912-05-30
26,Chad,Ruckhard,1907-04-01
27,Belia,Basso,2014-08-30
28,Hali,Treby,1953-11-01
29,Redd,Foard,2006-07-10
30,Chicky,Grigolashvill,1918-04-16
31,Winnie,McVicar,1990-02-15
32,Spenser,Pinnijar,1947-04-08
33,Deanna,Hartford,1930-08-14
34,Melesa,Bentham,1913-01-31
35,Merrily,Tomkowicz,1948-10-09
36,Meyer,McVee,1901-04-27
37,Alfie,Hurlin,1973-05-25
38,Kimberley,Ortet,1941-11-21
39,Cahra,Codron,1901-01-06
40,Karoly,Chaston,1984-12-03
41,Rufus,Carrigan,1938-04-22
42,Timothy,Semrad,2006-12-12
43,Ailina,Brower,1974-05-11
44,Lucais,Charrett,2008-07-13
45,Adrianna,Biasetti,1947-05-05
46,Cathi,Potzold,1986-06-09
47,Lee,Finlow,1961-06-16
48,Gerda,Robker,2000-06-12
49,Christiane,Hebble,1932-05-24
50,Rose,Kabos,1976-10-11
51,Carin,Kupper,2001-09-07
52,Vilhelmina,Findon,1904-09-03
53,Hubey,Currie,1995-05-26
54,Allis,Tighe,1973-12-10
55,Reagen,Maylam,1904-12-19
56,Enrica,Spinks,1930-10-05
57,Cyndi,Alexandre,1976-04-12
58,Ivonne,Fergusson,1923-11-27
59,Drucill,Dinley,1957-04-03
60,Janaya,Fiddler,1975-09-09
61,Perry,Troker,2016-07-13
62,Madelle,Packham,2011-04-25
63,Dario,Tutt,1900-06-22
